#{"t_start": 1777072485.1507761, "env_id": "CartPole-v1"}
r,l,t
16.0,16,2.718429
18.0,18,2.737913
18.0,18,2.75488
17.0,17,2.775285
36.0,36,2.812506
52.0,52,2.861378
11.0,11,2.872434
22.0,22,2.8934
22.0,22,2.91938
17.0,17,2.935538
24.0,24,2.95564
19.0,19,2.974418
23.0,23,2.996028
28.0,28,3.038774
18.0,18,3.059675
21.0,21,3.087079
12.0,12,3.101318
19.0,19,3.123012
29.0,29,3.157726
13.0,13,3.17051
22.0,22,3.189596
16.0,16,3.205767
14.0,14,3.218915
13.0,13,3.230559
27.0,27,3.253183
20.0,20,3.272109
14.0,14,3.286191
12.0,12,3.301357
18.0,18,3.328442
15.0,15,3.348947
17.0,17,3.369455
17.0,17,3.38973
15.0,15,3.407168
14.0,14,3.426585
45.0,45,3.48259
23.0,23,3.523817
13.0,13,3.543754
12.0,12,3.559472
21.0,21,3.58718
27.0,27,3.615388
24.0,24,3.640391
12.0,12,3.650786
28.0,28,3.673018
14.0,14,3.686958
17.0,17,3.702822
15.0,15,3.716131
28.0,28,3.740666
20.0,20,3.757158
12.0,12,3.768642
26.0,26,3.796831
30.0,30,3.829855
25.0,25,3.856871
14.0,14,3.871498
36.0,36,3.906907
21.0,21,3.934105
53.0,53,3.991676
15.0,15,4.008908
26.0,26,4.036947
26.0,26,4.063281
13.0,13,4.074697
17.0,17,4.088998
11.0,11,4.098678
13.0,13,4.11042
40.0,40,4.147825
19.0,19,4.164331
15.0,15,4.177798
15.0,15,4.191729
13.0,13,4.203472
20.0,20,4.220285
12.0,12,4.231337
19.0,19,4.249053
23.0,23,4.268131
14.0,14,4.281638
8.0,8,4.290061
14.0,14,4.302635
10.0,10,4.313304
18.0,18,4.329305
26.0,26,4.353241
30.0,30,4.38289
9.0,9,4.391865
14.0,14,4.412334
22.0,22,4.437763
36.0,36,4.477623
38.0,38,4.520083
12.0,12,4.53201
21.0,21,4.551902
24.0,24,4.573754
30.0,30,4.599556
30.0,30,4.625777
33.0,33,4.656663
